"province_name","owner_country","total","active","percentage"
"",104,16813,3584,21
DKI JAKARTA,10,16351,3351,20
JAWA TIMUR,5,5111,1147,22
JAWA TENGAH,2,2879,641,22
JAWA BARAT,2,4035,507,13
SUMATERA UTARA,3,1750,339,19
BANTEN,4,1580,211,13
SULAWESI SELATAN,1,162,37,23
SUMATERA SELATAN,1,153,28,18
BALI,5,238,24,10
NUSA TENGGARA TIMUR,1,109,20,18
LAMPUNG,1,152,20,13
KEPULAUAN RIAU,1,172,17,10
NUSA TENGGARA BARAT,1,48,15,31
DI YOGYAKARTA,2,291,15,5
RIAU,1,108,13,12
SUMATERA BARAT,3,105,7,7
JAMBI,1,59,6,10
KALIMANTAN BARAT,1,79,6,8
KALIMANTAN SELATAN,1,215,4,2
PAPUA,1,14,3,21
KALIMANTAN TIMUR,1,77,3,4
SULAWESI UTARA,1,20,1,5
ACEH,2,54,1,2
